Segment,Detected,Expected
1,121,118.48877001731651
2,127,123.1215700709402
3,120,117.22423802612597
4,124,122.33323538054708
5,121,118.12602587715207
6,119,119.29457736340349
7,122,119.69912213893609
8,127,124.6335364900732
9,123,122.06818181817972
10,120,117.90599383778587
11,120,115.64322951224544
12,115,114.03059404174329
13,116,113.46510961567036
14,117,115.30347198051258
15,130,127.47841440805945
16,131,128.54849498327124
17,131,128.49727254361053
18,124,123.02947165728418
19,123,121.86724112749813
20,119,116.40403286033836
21,31,118.44873807511055
