Segment,Detected,Expected,% Missing
1,121,118.48877001731651,0.0
2,127,123.1215700709402,0.0
3,120,117.22423802612597,0.0
4,124,122.33323538054708,0.0
5,121,118.12602587715207,0.0
6,119,119.29457736340349,0.002469327356817976
7,122,119.69912213893609,0.0
8,127,124.6335364900732,0.0
9,123,122.06818181817972,0.0
10,120,117.90599383778587,0.0
11,120,115.64322951224544,0.0
12,115,114.03059404174329,0.0
13,116,113.46510961567036,0.0
14,117,115.30347198051258,0.0
15,130,127.47841440805945,0.0
16,131,128.54849498327124,0.0
17,131,128.49727254361053,0.0
18,124,123.02947165728418,0.0
19,123,121.86724112749813,0.0
20,119,116.40403286033836,0.0
21,70,76.77463383763991,0.08824052293061599
22,22,13.455931823278581,0.0
23,2,-0.0842451702945913,0.0
