Task,Segment,Detected,Expected,% Missing
Baseline 1,1,109,108.85350232375443,0.0
Baseline 1,2,112,110.07080958417014,0.0
Baseline 1,3,105,101.45274747680958,0.0
Relaxation,1,100,99.38289751591313,0.0
Relaxation,2,102,100.70644583906987,0.0
Relaxation,3,107,105.66826215022009,0.0
Baseline 2,1,105,104.32560418678074,0.0
Baseline 2,2,112,110.62401066070203,0.0
Baseline 2,3,110,107.01700659686372,0.0
Breathing,1,111,112.93704552406768,0.017151551247680606
Breathing,2,113,113.79150722978812,0.006955767166259352
Breathing,3,113,113.12332329592411,0.0010901668403208297
Baseline 3,1,113,112.31680739737698,0.0
Baseline 3,2,106,105.72804458766186,0.0
Baseline 3,3,106,104.18022369089628,0.0
